[2025-09-06T10:05:57.117Z] [INFO] Processing file: drug-label-0001-of-0013.json
[2025-09-06T10:05:57.126Z] [ERROR] Error in uncaught exception: The "chunk" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received an instance of Object
[2025-09-06T13:06:50.605050] [INFO] Starting FDA drug label processing with Python
[2025-09-06T13:06:50.605675] [INFO] Found 13 JSON files to process
[2025-09-06T13:06:50.605766] [INFO] 
=== Processing file 1/13: drug-label-0001-of-0013.json ===
[2025-09-06T13:06:53.888147] [INFO] Processing chunk 125/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888247] [INFO] Processing chunk 126/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888345] [INFO] Processing chunk 127/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888438] [INFO] Processing chunk 128/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888531] [INFO] Processing chunk 129/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888624] [INFO] Processing chunk 130/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888720] [INFO] Processing chunk 131/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888812] [INFO] Processing chunk 132/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888903] [INFO] Processing chunk 133/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888999] [INFO] Processing chunk 134/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889098] [INFO] Processing chunk 135/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889194] [INFO] Processing chunk 136/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889284] [INFO] Processing chunk 137/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889374] [INFO] Processing chunk 138/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889465] [INFO] Processing chunk 139/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889557] [INFO] Processing chunk 140/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889647] [INFO] Processing chunk 141/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889745] [INFO] Processing chunk 142/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889836] [INFO] Processing chunk 143/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.889927] [INFO] Processing chunk 144/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890019] [INFO] Processing chunk 145/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890109] [INFO] Processing chunk 146/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890200] [INFO] Processing chunk 147/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890290] [INFO] Processing chunk 148/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890381] [INFO] Processing chunk 149/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890476] [INFO] Processing chunk 150/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890567] [INFO] Processing chunk 151/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890658] [INFO] Processing chunk 152/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890752] [INFO] Processing chunk 153/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.890843] [INFO] Processing chunk 154/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.910252] [INFO] Processing chunk 155/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.910900] [INFO] Processing chunk 156/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.911189] [INFO] Processing chunk 157/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.911355] [INFO] Processing chunk 158/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.911507] [INFO] Processing chunk 159/400 from drug-label-0001-of-0013.json
